"id","killer","killer side","victim","victim side","method","weapon","body parts","ian johnson line","fagles line","tumblr id","notes"
1,"Antilochus","A","Echepolus","T","spear in the head",,,4.529,,25844076223,
2,"Agenor","T","Elephenor","A","spear in the side",,,4.543,,25906997138,
3,"Telamonian Ajax","A","Simoeisius","T","speared in the nipple",,,4.549,,25980441717,
4,"Antiphus","T","Leucus","A","speared in the groin",,,4.569,,26051270302,
5,"Odysseus","A","Democo̦n","T","spear through the head",,,4.579,,26122278629,
6,"Peirous","T","Diores","A","hit with a rock,then speared in the gut",,,4.598,,26191324657,
7,"Thoas","A","Peirous","T","spear in the chest, sword in the gut",,,4.608,,26256188600,
8,"Diomedes","A","Phegeus","T","spear in the chest",,,5.19,,26326019328,
9,"Agamemnon","A","Odius","T","spear in the back",,,5.42,,26399767681,
10,"Idomeneus","A","Phaestus",,"spear in the shoulder",,,5.48,,26471694326,
11,"Menelaus","A","Scamandrius",,"spear in the back",,,5.54,,26538808345,
12,"Meriones","A","Phereclus","T","spear in the buttock",,,5.66,,26609318613,
13,"Meges","A","Pedaeus","A","spear in the neck",,,5.78,,26678300778,
14,"Eurypylus","A","Hypsenor","T","arm cut off",,,5.86,,26743179148,
15,"Diomedes","A","Astynous","T","spear in the chest",,,5.164,,26818219036,
16,"Diomedes","A","Hypeiron","T","sword in the collar bone",,,5.165,,26818219036,
17,"Diomedes","A","Abas","T",,,,5.17,,26884487329,
18,"Diomedes","A","Polyidus","T",,,,5.17,,26884487329,
19,"Diomedes","A","Xanthus","T",,,,5.174,,26957593285,
20,"Diomedes","A","Thoon","T",,,,5.174,,26957593285,
21,"Diomedes","A","Echemmon","T",,,,5.182,,27030421433,
22,"Diomedes","A","Chromius","T",,,,5.182,,27030421433,
23,"Diomedes","A","Pandarus","T","spear in the nose",,,5.346,,27103412250,
24,"Agamemnon","A","Deicoon","T"," spear in the stomach",,,5.63,,27239665640,
25,"Aeneas","T","Crethon","A",,,,,,27310838004,
26,"Aeneas","T","Orsilochus","A",,,,,,27310838004,
27,"Menelaus","A","Pylaemenes","T"," spear in the collar bone",,,5.675,,27386355486,
28,"Antilochus","A","Mydon","T"," sword in the head,stomped by his horses",,,5.68,,27461482653,
29,"Hector","T","Menesthes","A",,,,5.714,,27534954038,
30,"Hector","T","Anchialus","A",,,,5.714,,27534954038,
31,"Telamonian Ajax","A","Amphius","T"," spear in the gut",,,5.717,,27606885167,
32,"Sarpedon","T","Tlepolemus","A"," spear in the neck",,,5.764,,27677177300,
33,"Odysseus","A","Coeranus","T",,,,5.783,,27743032915,
34,"Odysseus","A","Alastor","T",,,,5.783,,27743032915,
35,"Odysseus","A","Chromius","T",,,,5.783,,27743032915,
36,"Odysseus","A","Alcandrus","T",,,,5.784,,27743032915,
37,"Odysseus","A","Halius","T",,,,5.784,,27743032915,
38,"Odysseus","A","Noemon","T",,,,5.784,,27743032915,
39,"Odysseus","A","Prytanis","T",,,,5.784,,27743032915,
40,"Hector","T","Teuthras","A",,,,5.811,,27813293147,
41,"Hector","T","Orestes","A",,,,5.811,,27813293147,
42,"Hector","T","Trechus","A",,,,5.812,,27813293147,
43,"Hector","T","Oenomaus","A",,,,5.812,,27813293147,
44,"Hector","T","Helenus","A",,,,5.813,,27813293147,
45,"Hector","T","Oresbius","A",,,,5.813,,27813293147,
46,"Ares","G","Periphas","A",,,,5.97,,27888183465,
47,"Telamonian Ajax","A","Acamas","T"," spear in the head",,,6.9,,28111521273,
