"id","killer","killer side","victim","victim side","method","weapon","body parts","ian johnson line","fagles line","tumblr id","notes"
192,"Peneleus","A","Lyco","A"," sword in the neck",,,16.395,,,
193,"Meriones","A","Acamas","T"," spear in the shoulder",,,16.399,,,
194,"Idomeneus","A","Erymas","T"," spear in the mouth",,,16.403,,,
195,"Patroclus","A","Pronous","T"," spear in the chest",,,16.464,,,
196,"Patroclus","A","Thestor","T"," spear in the head",,,16.477,,,
197,"Patroclus","A","Erylaus","T"," rock on the head",,,16.479,,,
198,"Patroclus","A","Erymas","T",,,,16.484,,,
199,"Patroclus","A","Amphoterus","T",,,,16.484,,,
200,"Patroclus","A","Epaltes","T",,,,16.484,,,
201,"Patroclus","A","Tlepolemus","T",,,,16.485,,,
202,"Patroclus","A","Echius","T",,,,16.485,,,
203,"Patroclus","A","Pyris","T",,,,16.486,,,
204,"Patroclus","A","Ipheus","T",,,,16.486,,,
205,"Patroclus","A","Euippus","T",,,,16.486,,,
206,"Patroclus","A","Polymelus","T",,,,16.486,,,
207,"Patroclus","A","Thrasymedes","T"," spear in the gut",,,16.542,,,
208,"Patroclus","A","Sarpedon","T"," spear in the chest",,,16.559,,,
209,"Hector","T","Epeigeus","A"," rock on the head",,,16.666,,,
210,"Patroclus","A","Sthenelaus","T"," rock on the head",,,16.682,,,
211,"Glaucus","T","Bathycles","A"," spear in the chest",,,16.691,,,
212,"Meriones","A","Laogonus","T"," spear in the jaw",,,16.702,,,
213,"Patroclus","A","Adrestus","T",,,,16.808,,,
214,"Patroclus","A","Autonous","T",,,,16.809,,,
215,"Patroclus","A","Echeclus","T",,,,16.809,,,
216,"Patroclus","A","Perimus","T",,,,16.809,,,
217,"Patroclus","A","Epistor","T",,,,16.81,,,
218,"Patroclus","A","Melanippus","T",,,,16.81,,,
219,"Patroclus","A","Elasus","T",,,,16.811,,,
220,"Patroclus","A","Mulius","T",,,,16.811,,,
221,"Patroclus","A","Pylartes","T",,,,16.811,,,
222,"Patroclus","A","Cebriones","T"," rock in the head",,,16.859,,,
223,"Patroculs","A","twenty-seven anonymous Trojans","T",,,,16.913,,,
224,"Hector","T","Patroclus","A",,,,16.993,,,
225,"Menelaus","A","Euphorbus","T"," spear in the throat",,,17.6,,,
226,"Telamonian Ajax","A","Hippothous","T"," spear in the head",,,17.377,,,
227,"Hector","T","Schedius","A"," spear in the collar",,,17.393,,,
228,"Telamonian Ajax","A","Phorcys","T"," spear in the gut",,,17.399,,,
229,"Aeneas","T","Leocritus","A",,,,17.439,,,
230,"Lycomedes","A","Apisaon","T",,,,17.443,,,
231,"Automedon","A","Aretus","T"," spear in the gut",,,17.636,,,
232,"Menelaus","T","Podes","T"," spear in the stomach",,,17.704,,,
233,"Hector","T","Coeranus","A"," spear in the head",,,17.744,,,
234,"Achilles","A","Iphition","T"," spear in the head",,,20.463,,,
235,"Achilles","A","Demoleon","T"," spear in the head",,,20.476,,,
236,"Achilles","A","Hippodamas","T"," spear in the back",,,20.48,,,
237,"Achilles","A","Polydorus","T"," spear in the back",,,20.488,,,
238,"Achilles","A","Dryops","T"," spear in the knee, sword thrust",,,20.546,,,
239,"Achilles","A","Demouchos","T"," spear thrust",,,20.548,,,
240,"Achilles","A","Laogonus","T"," spear thrust",,,20.551,,,
241,"Achilles","A","Dardanus","T"," sword thrust",,,20.551,,,
242,"Achilles","A","Tros","T"," sword in the liver",,,20.555,,,
243,"Achilles","A","Mulius","T"," spear in the head",,,20.567,,,
244,"Achilles","A","Echeclus","T"," sword on the head",,,20.569,,,
245,"Achilles","A","Deucalion","T"," sword in the neck",,,20.573,,,
246,"Achilles","A","Rhigmus","T"," spear in the gut",,,20.581,,,
247,"Achilles","A","Areithous","T"," spear in the back",,,20.586,,,
248,"Achilles","A","Lycaon","T"," sword in the neck",,,21.138,,,
249,"Achilles","A","Asteropaeus","T"," sword in the stomach",,,21.215,,,
250,"Achilles","A","Thersilochus","T",,,,21.249,,,
251,"Achilles","A","Mydon","T",,,,21.249,,,
252,"Achilles","A","Astypylus","T",,,,21.25,,,
253,"Achilles","A","Mnesus","T",,,,21.25,,,
254,"Achilles","A","Thrasius","T",,,,21.25,,,
255,"Achilles","A","Aenius","T",,,,21.25,,,
256,"Achilles","A","Ophelestes","T",,,,21.251,,,
257,"Achilles","A","Hector","T"," spear through the throat",,,22.41,,,
,,,,,,,,,,28824635656,
,,,,,,,,,,28897005409,
,,,,,,,,,,28969436296,
